City,Date,AQI,PM2.5,PM10,NO2,CO,O3,SO2
Delhi,2024-01-01,152,153,151,26.509131087954742,1.5814129005182616,123.40153000983253,25.062473878411602
Delhi,2024-01-02,264,288,268,87.95585311974416,1.2421185223120967,144.53378978124863,5.92630224331111
Delhi,2024-01-03,307,344,357,94.46974381141752,0.10147965509792722,198.52019626533132,32.786667933247244
Delhi,2024-01-04,363,334,347,12.075618253727418,1.0970718544909395,85.97358462589854,7.099954844612695
Delhi,2024-01-05,237,266,250,51.046298579533236,1.5918343266467259,47.93801861008835,28.140549728612523
Delhi,2024-01-06,369,321,327,64.67903667112945,0.4239958350058539,22.35980266720311,47.699849176399994
Delhi,2024-01-07,365,328,347,44.68748522859245,0.13033587921840697,53.86982686820831,15.846145971170527
Delhi,2024-01-08,493,513,526,54.56592191001432,0.16533819011891496,182.77087639496858,16.645099172000762
Delhi,2024-01-09,409,362,333,48.26402870421202,0.4950891594495588,117.86306228579838,6.409098160500136
Delhi,2024-01-10,451,490,503,94.55490474077702,1.8001719658125328,123.60099597410618,46.48434057604026
Delhi,2024-01-11,264,275,284,86.00804638103362,1.5199082092610237,112.54150515392516,31.40380245487317
Delhi,2024-01-12,266,275,304,34.83992638202891,0.6629196608377566,41.400718421970474,5.703638303353727
Delhi,2024-01-13,58,95,65,27.884411338075516,0.11049202253484457,164.9376714064185,36.80858047314277
Delhi,2024-01-14,212,196,198,64.53639773029101,1.859971669175363,133.70463484536944,46.173185399470135
Delhi,2024-01-15,250,271,252,39.78082223673843,0.2207608655434449,69.08664112597582,19.633249491203618
Delhi,2024-01-16,148,141,150,34.72496136910577,1.1663625091106322,82.75610620322007,48.72704429250967
Delhi,2024-01-17,180,130,104,60.51494778125466,1.5648376419136658,103.82116330923424,28.522977322189732
Delhi,2024-01-18,64,103,114,49.54028516791931,0.48326648443725273,180.19508317796868,26.391660043195028
Delhi,2024-01-19,145,98,97,22.539830896528812,1.2483930206278528,112.56980734731789,14.137755113064623
Delhi,2024-01-20,62,43,19,36.077630762239124,0.4063204457826084,186.64255394508888,41.365417080398764
Delhi,2024-01-21,490,445,442,82.33048692092031,0.4544831118834681,179.58620971309577,29.270400886204282
Delhi,2024-01-22,397,435,443,91.61455973911787,0.617051273830807,133.06112290285884,5.023416964789212
Delhi,2024-01-23,282,234,242,24.819026782864753,1.1147698968133397,102.11769455820681,36.159621480062164
Delhi,2024-01-24,283,276,269,94.86187335212672,0.7140855708394349,108.57021813123956,36.635853150283005
Delhi,2024-01-25,162,173,191,32.85238725409102,0.5690645193933422,142.29781183955978,37.05217654659989
Delhi,2024-01-26,150,155,141,34.01029128477565,1.9555684160820406,88.09703253046395,6.487282980524677
Delhi,2024-01-27,273,319,289,31.560570160027517,0.3753002569733239,102.99602445273698,49.35427043497703
Delhi,2024-01-28,465,482,506,78.54576537958458,0.5515113335855594,148.3611062362533,21.550240972366396
Delhi,2024-01-29,421,468,443,45.894199820009774,1.6512205591168294,161.68557374706472,11.782289478444326
Delhi,2024-01-30,236,255,240,13.669762739928753,1.2226965920576596,138.73722875003367,5.746452301753527
Delhi,2024-01-31,196,165,166,18.65588959822787,1.8869942025302475,85.53868400662924,28.298810773736605
Delhi,2024-02-01,409,359,339,40.695971594523265,0.3155996903571192,185.69178747292693,44.48027090214415
Delhi,2024-02-02,148,104,133,25.745943438634256,1.9661198523259276,108.16081934149271,16.737312867368406
